region,candidato,sexo,edad_grupo,poblacion_region,porcentaje_grupo,ingreso_promedio,score,sentimiento,probabilidad,ganador,indecisos
Lima,Vizcarra,F,18-25,1240016,0.0767,1263,85.68,0.21,0.5946,1,0.1534
La Libertad,Fujimori,M,41-60,3743300,0.0861,949,48.51,0.38,0.5081,1,0.1908
Cusco,Vizcarra,M,18-25,1942112,0.1064,1144,63.62,0.8,0.7312,1,0.2129
Ucayali,Acuña,F,26-40,7271540,0.0665,761,76.75,0.75,0.7536,1,0.2692
Huánuco,Acuña,M,18-25,8949300,0.1765,869,86.73,0.56,0.7252,1,0.2262
Moquegua,López Aliaga,M,18-25,4004657,0.109,994,86.65,0.79,0.8101,1,0.2549
Ayacucho,Vizcarra,M,26-40,4105971,0.0665,834,44.81,0.23,0.4118,0,0.2926
Ucayali,Vizcarra,M,60+,1891294,0.1305,1012,52.39,0.7,0.6631,1,0.1246
Callao,López Aliaga,M,26-40,2431981,0.1056,816,77.87,0.64,0.7003,1,0.3285
La Libertad,Vizcarra,M,60+,1806911,0.1116,753,83.68,0.7,0.7257,1,0.4454
Cajamarca,Acuña,M,60+,8372637,0.0977,1175,53.75,0.22,0.4636,0,0.2045
Áncash,Alvarez,M,26-40,6367572,0.1089,1167,80.57,0.74,0.7233,1,0.4846
Moquegua,Alvarez,M,18-25,8218253,0.0897,1002,60.25,0.66,0.6071,1,0.4822
Ayacucho,Fujimori,F,26-40,6747106,0.1633,705,46.67,0.55,0.5556,1,0.2517
Huánuco,Vizcarra,M,60+,6271463,0.091,1167,46.28,0.49,0.4899,0,0.4629
Cajamarca,Acuña,F,60+,6478465,0.052,1204,76.47,0.36,0.5621,1,0.4462
San Martín,Fujimori,M,60+,3395983,0.0845,946,54.44,0.79,0.6421,1,0.4555
Amazonas,López Aliaga,F,60+,3332013,0.1218,1014,74.64,0.65,0.7218,1,0.1815
Tacna,Acuña,M,60+,4726065,0.1087,863,81.45,0.29,0.5644,1,0.3802
Piura,Fujimori,M,41-60,2684348,0.0831,1116,62.75,0.38,0.5066,1,0.4736
Piura,Acuña,F,26-40,8512207,0.1088,1132,40.25,0.41,0.4951,0,0.1509
Junín,Acuña,F,26-40,6386076,0.143,1162,85.24,0.5,0.6901,1,0.2532
Tumbes,López Aliaga,M,41-60,3592685,0.1477,1109,76.26,0.8,0.7315,1,0.4648
Arequipa,Alvarez,M,26-40,8395841,0.1526,807,42.43,0.62,0.5746,1,0.2175
Piura,Acuña,M,41-60,2138868,0.0806,940,71.97,0.36,0.5984,1,0.1747
Piura,Acuña,M,60+,3876104,0.0957,782,89.31,0.38,0.6817,1,0.1436
Apurímac,Vizcarra,F,18-25,6197474,0.1546,777,87.79,0.79,0.7961,1,0.3556
Moquegua,López Aliaga,F,26-40,4930930,0.1446,1173,56.2,0.6,0.601,1,0.3283
Puno,Vizcarra,F,41-60,8632075,0.0883,1264,66.38,0.53,0.5902,1,0.4462
Junín,Alvarez,F,26-40,7834215,0.1629,794,71.29,0.21,0.5329,1,0.1837
Huánuco,Fujimori,M,18-25,4882434,0.1111,879,81.76,0.26,0.5607,1,0.3526
Puno,Acuña,M,41-60,2639169,0.1325,1049,69.99,0.63,0.7024,1,0.1542
Ucayali,Fujimori,F,41-60,5480964,0.0553,1228,46.94,0.36,0.4424,0,0.4528
Ayacucho,Acuña,F,26-40,1682639,0.0808,721,89.8,0.35,0.6217,1,0.3956
Huancavelica,López Aliaga,M,26-40,6161674,0.1378,726,56.85,0.56,0.616,1,0.1822
Ayacucho,Fujimori,M,41-60,9457513,0.1401,1029,88.25,0.67,0.7895,1,0.1646
Huancavelica,Alvarez,M,60+,6167851,0.1791,1246,78.92,0.22,0.5435,1,0.2931
Huánuco,Alvarez,M,26-40,9501624,0.0723,771,43.38,0.5,0.4862,0,0.4368
Pasco,Acuña,M,18-25,3970194,0.115,1019,61.13,0.39,0.5132,1,0.4465
Huánuco,Fujimori,F,18-25,4270615,0.0863,903,78.18,0.48,0.6421,1,0.3189
Cusco,Acuña,F,41-60,8725162,0.1358,1152,49.49,0.27,0.4833,0,0.1083
Callao,Vizcarra,F,18-25,4906946,0.0598,936,44.26,0.49,0.5137,1,0.3035
Áncash,Fujimori,F,26-40,4590677,0.1337,908,55.24,0.46,0.5554,1,0.2573
Cajamarca,Vizcarra,M,60+,9408082,0.1198,846,56.81,0.79,0.6769,1,0.3228
Lambayeque,Alvarez,M,41-60,1501876,0.17,895,71.07,0.43,0.6361,1,0.1043
Madre de Dios,Fujimori,F,26-40,6562244,0.0567,1180,82.95,0.52,0.6829,1,0.2811
Loreto,Alvarez,F,18-25,4964390,0.1037,1254,47.48,0.8,0.6469,1,0.3126
Cusco,Alvarez,M,26-40,9069961,0.0592,1173,70.28,0.49,0.6304,1,0.2273
Puno,López Aliaga,M,26-40,6523144,0.1725,788,57.24,0.52,0.5417,1,0.4735
Amazonas,López Aliaga,F,26-40,9870849,0.1503,858,64.21,0.5,0.6177,1,0.2029
Cajamarca,López Aliaga,F,26-40,1117302,0.0639,996,60.92,0.79,0.6879,1,0.3615
Apurímac,Alvarez,F,60+,5825153,0.0764,1148,59.67,0.61,0.6304,1,0.2647
Pasco,Vizcarra,M,26-40,6783415,0.1354,1246,60.36,0.52,0.5981,1,0.264
Callao,Vizcarra,M,26-40,6155503,0.0593,1002,54.62,0.76,0.6309,1,0.4505
San Martín,Acuña,M,26-40,3123374,0.0658,949,85.97,0.7,0.7745,1,0.2506
Amazonas,Fujimori,M,41-60,9782635,0.126,1189,61.84,0.78,0.6757,1,0.41
Pasco,López Aliaga,F,60+,3262801,0.072,863,72.86,0.34,0.5964,1,0.1636
Tumbes,Acuña,F,60+,7581358,0.0696,1057,72.61,0.63,0.7095,1,0.1554
Cusco,Vizcarra,M,26-40,7599973,0.0762,1171,89.76,0.49,0.6758,1,0.3873
Junín,Vizcarra,F,60+,6541118,0.1487,709,57.05,0.29,0.4653,0,0.3997
Cusco,López Aliaga,F,41-60,5707989,0.0591,1101,41.55,0.7,0.5714,1,0.3792
Moquegua,López Aliaga,M,18-25,5065714,0.0514,782,73.44,0.4,0.581,1,0.3625
Arequipa,Alvarez,F,26-40,1347043,0.0827,944,89.36,0.57,0.7299,1,0.2762
La Libertad,Alvarez,F,60+,6709118,0.158,1221,66.66,0.3,0.5157,1,0.3457
Apurímac,Fujimori,M,41-60,9188463,0.0507,721,55.82,0.4,0.5134,1,0.3521
Madre de Dios,López Aliaga,F,41-60,6816379,0.1322,1045,74.7,0.71,0.6994,1,0.4228
Arequipa,Vizcarra,F,18-25,1018251,0.1542,984,80.88,0.46,0.6168,1,0.4614
Junín,Acuña,F,26-40,4618269,0.1095,798,54.99,0.4,0.5428,1,0.1863
Huancavelica,López Aliaga,M,60+,2338289,0.0888,797,46.64,0.38,0.4474,0,0.4561
Piura,Alvarez,F,26-40,9665928,0.1366,829,82.77,0.52,0.6982,1,0.1947
Tumbes,Alvarez,M,41-60,5231786,0.1674,1162,82.05,0.66,0.7381,1,0.2659
Junín,Fujimori,M,60+,7485295,0.1243,729,51.47,0.59,0.5625,1,0.398
Callao,Acuña,F,41-60,3462163,0.164,891,72.13,0.47,0.6097,1,0.3341
Junín,Acuña,M,26-40,3027132,0.0643,1085,41.38,0.56,0.5572,1,0.167
San Martín,López Aliaga,F,60+,1900680,0.0559,1260,88.86,0.47,0.6475,1,0.4898
Huancavelica,Fujimori,F,18-25,7929700,0.1133,1199,45.37,0.75,0.6025,1,0.3853
San Martín,Vizcarra,M,41-60,9769625,0.0634,849,81.39,0.67,0.7418,1,0.2546
Huánuco,Acuña,M,18-25,6970613,0.0928,1104,44.22,0.3,0.409,0,0.4451
Tacna,Alvarez,F,60+,7396273,0.0628,1034,85.39,0.47,0.6825,1,0.2446
Áncash,Alvarez,F,18-25,2108376,0.1771,955,89.32,0.51,0.7321,1,0.1368
Cajamarca,Fujimori,F,41-60,3261669,0.1198,991,54.55,0.75,0.6197,1,0.496
Amazonas,López Aliaga,M,26-40,3120457,0.1061,773,77.38,0.21,0.4921,0,0.498
Junín,Alvarez,M,18-25,2234766,0.0814,1112,47.14,0.58,0.5273,1,0.4614
Tacna,Alvarez,F,26-40,6198143,0.1707,779,77.81,0.76,0.7291,1,0.4319
Junín,Fujimori,M,18-25,3566459,0.0958,1209,61.27,0.46,0.5324,1,0.4746
Tacna,Alvarez,M,60+,4861172,0.1693,1161,67.93,0.22,0.511,1,0.2452
Áncash,Alvarez,M,26-40,1018084,0.085,944,41.25,0.55,0.497,0,0.434
Madre de Dios,Alvarez,M,41-60,5618040,0.1434,768,53.94,0.61,0.6243,1,0.1771
Huánuco,Fujimori,M,18-25,9748469,0.0843,1118,61.96,0.56,0.6179,1,0.2746
Apurímac,Vizcarra,M,26-40,1450723,0.1395,1075,64.91,0.7,0.7098,1,0.1586
Tumbes,López Aliaga,M,18-25,6530657,0.0931,1180,51.63,0.49,0.5715,1,0.1585
Callao,López Aliaga,F,60+,5269984,0.1,1016,78.73,0.75,0.7873,1,0.1404
Huánuco,Alvarez,M,60+,9408328,0.0591,742,49.87,0.74,0.6323,1,0.3103
Junín,Vizcarra,M,60+,3687975,0.1694,937,58.54,0.29,0.507,1,0.2113
Lambayeque,Alvarez,M,41-60,3357018,0.0609,871,59.65,0.39,0.5447,1,0.2566
Junín,Alvarez,M,18-25,7310209,0.124,1197,77.45,0.23,0.5731,1,0.1375
Loreto,Alvarez,M,18-25,4435263,0.1621,911,64.27,0.47,0.5861,1,0.2976
La Libertad,Fujimori,F,41-60,5626244,0.0539,761,75.76,0.25,0.5076,1,0.4867
Madre de Dios,Vizcarra,F,18-25,4081144,0.1738,790,88.68,0.37,0.643,1,0.2931
Lambayeque,Alvarez,F,18-25,9176329,0.1362,1058,58.83,0.79,0.7248,1,0.1357
Lambayeque,Fujimori,F,26-40,4395299,0.0569,1266,89.72,0.74,0.782,1,0.3714
Ucayali,López Aliaga,M,18-25,5881438,0.0776,727,67.31,0.49,0.6055,1,0.305
Tacna,Alvarez,M,60+,2499967,0.174,962,65.35,0.53,0.5807,1,0.4613
Pasco,Fujimori,F,26-40,2159724,0.1708,1208,43.61,0.21,0.3722,0,0.4292
Callao,Acuña,M,26-40,4553148,0.095,1273,88.57,0.79,0.8223,1,0.2326
Moquegua,Alvarez,M,60+,5381486,0.1574,708,57.69,0.32,0.4629,0,0.4739
Junín,Acuña,F,60+,1872049,0.1513,894,55.58,0.75,0.6762,1,0.2318
Piura,Acuña,M,26-40,6215702,0.1003,797,70.93,0.62,0.6404,1,0.4482
Tumbes,Fujimori,M,26-40,7307717,0.0987,1227,88.41,0.78,0.8373,1,0.1318
Tacna,López Aliaga,F,60+,6690667,0.0871,1192,48.36,0.76,0.6031,1,0.4653
La Libertad,López Aliaga,M,18-25,2264571,0.0563,774,48.11,0.43,0.5246,1,0.1955
Cusco,Fujimori,F,26-40,9859770,0.061,745,66.92,0.36,0.537,1,0.3735
San Martín,Acuña,F,18-25,4658370,0.1578,786,81.88,0.27,0.5507,1,0.4249
Ucayali,Alvarez,F,26-40,6596154,0.0578,768,53.88,0.26,0.456,0,0.3123
Loreto,Fujimori,M,26-40,1516815,0.1489,772,54.9,0.53,0.5744,1,0.2832
Ayacucho,López Aliaga,F,60+,5148958,0.1471,1259,47.19,0.22,0.4135,0,0.3076
Ica,López Aliaga,M,26-40,5264230,0.0568,1025,75.58,0.33,0.5492,1,0.4178
Tumbes,Alvarez,F,60+,6065115,0.1548,1029,79.09,0.3,0.611,1,0.1193
Callao,López Aliaga,F,26-40,8267579,0.1227,1137,85.25,0.69,0.7231,1,0.4675
Tumbes,López Aliaga,M,18-25,5668414,0.1183,917,78.6,0.23,0.5228,1,0.4197
Lambayeque,Fujimori,M,18-25,2871780,0.0671,956,49.62,0.28,0.4883,0,0.1026
Apurímac,Fujimori,M,41-60,5236538,0.1149,891,65.17,0.42,0.5692,1,0.298
San Martín,Vizcarra,F,60+,1395096,0.0929,981,62.09,0.21,0.507,1,0.1221
Puno,Acuña,M,60+,8144788,0.1701,1072,82.34,0.44,0.6237,1,0.406
Tumbes,Acuña,F,60+,1704748,0.1679,727,57.2,0.74,0.6842,1,0.2118
Pasco,Acuña,F,41-60,5215621,0.1623,779,62.62,0.26,0.5041,1,0.2454
Pasco,López Aliaga,F,41-60,2964162,0.1371,1020,57.36,0.6,0.5789,1,0.4457
Tacna,López Aliaga,F,41-60,6668072,0.1012,1139,82.98,0.54,0.7258,1,0.1153
Tacna,Acuña,M,18-25,8175160,0.1761,785,42.75,0.77,0.6453,1,0.1637
Arequipa,Alvarez,F,18-25,3169835,0.078,1227,89.31,0.65,0.7338,1,0.416
Huancavelica,Fujimori,F,41-60,2074945,0.1194,907,82.79,0.54,0.6523,1,0.4822
Puno,López Aliaga,F,18-25,7631692,0.1443,1015,58.68,0.56,0.5684,1,0.4505
Puno,Vizcarra,M,18-25,2631747,0.1178,771,81.37,0.53,0.6804,1,0.2788
Puno,Fujimori,M,41-60,9388330,0.1208,770,88.79,0.45,0.6804,1,0.2686
Áncash,Acuña,M,26-40,6234877,0.1399,926,41.57,0.45,0.4755,0,0.3451
Cusco,Vizcarra,F,41-60,1452617,0.0671,1247,74.52,0.63,0.7273,1,0.1059
Loreto,López Aliaga,F,41-60,1544594,0.0861,780,49.27,0.7,0.5963,1,0.3957
Apurímac,Fujimori,M,18-25,2591737,0.1149,1001,72.33,0.69,0.7302,1,0.1733
Pasco,Acuña,F,18-25,4149210,0.1219,853,85.23,0.27,0.5658,1,0.4147
Loreto,López Aliaga,M,41-60,1065894,0.0583,762,88.89,0.59,0.7335,1,0.281
Huancavelica,López Aliaga,M,41-60,7376585,0.1088,1107,52.63,0.77,0.6755,1,0.2205
Puno,Vizcarra,M,18-25,9821452,0.0823,1202,61.06,0.25,0.4624,0,0.402
Ica,Alvarez,F,41-60,3883234,0.1128,1251,50.36,0.4,0.5004,1,0.3055
Moquegua,López Aliaga,M,18-25,6117704,0.0693,892,74.05,0.74,0.7496,1,0.2197
Huánuco,Vizcarra,F,41-60,3547396,0.1298,893,58.94,0.62,0.6021,1,0.4182
Madre de Dios,Fujimori,M,60+,6760025,0.0932,1050,58.55,0.26,0.518,1,0.1006
San Martín,Alvarez,M,26-40,3245122,0.126,1003,48.56,0.72,0.6416,1,0.2014
Madre de Dios,Fujimori,F,18-25,5893565,0.1544,1190,55.49,0.22,0.4836,0,0.133
Huancavelica,Vizcarra,M,60+,6296530,0.1224,1289,50.4,0.34,0.5052,1,0.1643
Cusco,Alvarez,F,41-60,4810071,0.1218,821,57.3,0.22,0.4591,0,0.2844
Tumbes,López Aliaga,M,41-60,8532345,0.1297,794,71.19,0.71,0.6803,1,0.433
Tumbes,Vizcarra,F,18-25,9361616,0.0926,954,87.65,0.27,0.6193,1,0.1986
Cusco,Fujimori,M,18-25,9800038,0.055,981,54.24,0.3,0.4819,0,0.283
San Martín,Acuña,M,26-40,828462,0.0892,866,46.35,0.68,0.5876,1,0.3572
Cusco,Acuña,F,41-60,9898986,0.0936,1239,67.72,0.28,0.5079,1,0.3704
Cajamarca,López Aliaga,F,18-25,2082385,0.052,789,76.59,0.58,0.6791,1,0.2905
Ayacucho,Fujimori,M,41-60,9404514,0.1752,926,90,0.68,0.7915,1,0.2033
Cusco,Vizcarra,M,60+,9331783,0.1406,1095,65.28,0.7,0.6615,1,0.3964
Junín,Acuña,M,18-25,9153230,0.0623,731,62.22,0.8,0.6717,1,0.4792
Moquegua,López Aliaga,M,60+,9003551,0.1457,912,40,0.71,0.6051,1,0.1894
Junín,López Aliaga,M,26-40,9551996,0.1636,1256,49.04,0.45,0.4833,0,0.4697
Amazonas,Alvarez,F,41-60,8667839,0.0627,1022,63.9,0.24,0.4832,0,0.3518
Junín,Alvarez,F,26-40,4810883,0.1565,1286,65.39,0.27,0.5176,1,0.2541
Ayacucho,Vizcarra,M,60+,8040186,0.065,1016,64.06,0.32,0.487,0,0.4929
Cusco,Alvarez,F,18-25,8393245,0.0837,1046,76.9,0.5,0.6856,1,0.1048
Huancavelica,Alvarez,M,26-40,8260458,0.1708,1237,52.35,0.73,0.6663,1,0.1854
Amazonas,López Aliaga,F,60+,6420682,0.0503,1188,57.57,0.21,0.4383,0,0.3733
Arequipa,Fujimori,F,60+,9998347,0.1567,884,49.91,0.53,0.5554,1,0.2786
Ica,Alvarez,F,18-25,3679575,0.1451,723,65.67,0.53,0.6089,1,0.3345
Apurímac,Alvarez,M,60+,3583453,0.0924,1187,75.26,0.46,0.5998,1,0.4274
Cusco,Acuña,M,26-40,3240337,0.0959,1187,60.97,0.41,0.5756,1,0.1585
Tacna,Fujimori,F,41-60,6657351,0.1232,944,47.86,0.7,0.5779,1,0.4632
Arequipa,Fujimori,M,41-60,9095516,0.1643,992,83.49,0.31,0.6027,1,0.2709
Arequipa,Vizcarra,M,26-40,7679457,0.0736,932,60.18,0.77,0.6697,1,0.4
Piura,López Aliaga,F,26-40,1305073,0.1318,832,75.05,0.6,0.678,1,0.3075
Piura,López Aliaga,M,60+,2047258,0.169,1269,76.01,0.28,0.5659,1,0.2418
Cusco,Acuña,F,41-60,2852309,0.1018,855,69.26,0.66,0.712,1,0.151
Callao,Acuña,M,26-40,7091063,0.1189,941,59.68,0.58,0.5933,1,0.3925
Ucayali,Alvarez,M,60+,3614850,0.1469,1280,57.33,0.26,0.4499,0,0.4081
Ucayali,Acuña,F,18-25,2491387,0.0597,1169,67.2,0.39,0.5238,1,0.4971
Huancavelica,Fujimori,M,60+,4792239,0.1309,1086,77.08,0.54,0.6459,1,0.3825
Pasco,López Aliaga,F,26-40,3126338,0.1264,890,76.61,0.63,0.7354,1,0.1085
Moquegua,Vizcarra,F,26-40,3368485,0.0909,727,83.94,0.62,0.7453,1,0.1894
Cusco,López Aliaga,F,26-40,3745092,0.1327,1176,77.25,0.48,0.6333,1,0.3401
Callao,Alvarez,M,41-60,9159497,0.0974,964,57.44,0.32,0.4887,0,0.3379
Áncash,Acuña,F,18-25,5458353,0.0846,704,84.57,0.58,0.7222,1,0.2322
Tacna,Vizcarra,M,41-60,9679550,0.114,810,71.72,0.23,0.5463,1,0.1568
Arequipa,Fujimori,M,60+,7419521,0.1065,1162,66.16,0.38,0.5329,1,0.4282
Áncash,Alvarez,M,41-60,4845312,0.1442,964,73.51,0.5,0.6356,1,0.2877
Tacna,Fujimori,F,41-60,4705134,0.091,764,70.91,0.52,0.5967,1,0.476
Arequipa,Fujimori,M,18-25,8617591,0.0847,1065,52.86,0.54,0.5378,1,0.4396
Ica,Vizcarra,M,18-25,7391596,0.1704,879,50.65,0.68,0.6406,1,0.169
Puno,Alvarez,M,41-60,6480120,0.1246,1204,78.06,0.66,0.7215,1,0.267
Moquegua,Alvarez,M,41-60,5211815,0.0805,819,45.99,0.38,0.4781,0,0.2834
Loreto,Acuña,M,18-25,3486831,0.0563,886,69.95,0.56,0.6378,1,0.3333
Arequipa,López Aliaga,F,41-60,2959574,0.1255,975,87.7,0.78,0.7756,1,0.4389
Moquegua,Vizcarra,M,18-25,9369161,0.0521,764,75.8,0.44,0.6573,1,0.1091
Arequipa,Fujimori,M,41-60,2951978,0.1202,745,88.14,0.32,0.6378,1,0.216
Pasco,Fujimori,M,26-40,5432821,0.122,865,44.26,0.42,0.5176,1,0.1346
San Martín,López Aliaga,M,26-40,8687905,0.1301,1255,48.37,0.7,0.6326,1,0.2098
Piura,Acuña,F,18-25,5846669,0.1046,921,45.71,0.48,0.5403,1,0.1738
Amazonas,Acuña,F,41-60,4585596,0.0827,883,46.13,0.56,0.5212,1,0.4304
Loreto,Alvarez,F,26-40,2605890,0.1618,847,45.14,0.2,0.4347,0,0.1293
Tumbes,Acuña,M,60+,1044369,0.076,747,82.82,0.24,0.5345,1,0.4601
Huánuco,Acuña,F,60+,1195204,0.0534,856,83,0.47,0.6638,1,0.2765
Junín,Alvarez,F,60+,2299218,0.072,927,84.22,0.47,0.6834,1,0.2093
Huancavelica,Acuña,F,41-60,2244706,0.1163,1152,63.57,0.42,0.5639,1,0.2897
Cajamarca,López Aliaga,F,26-40,6878868,0.1543,1153,52.07,0.75,0.6701,1,0.1884
Lima,Vizcarra,F,18-25,2880883,0.1796,1104,74.16,0.4,0.5681,1,0.4499
Moquegua,López Aliaga,F,26-40,7485746,0.1089,715,62.72,0.8,0.72,1,0.2495
Piura,Fujimori,M,26-40,4443719,0.0571,1000,73.67,0.25,0.5292,1,0.3225
Ayacucho,Fujimori,M,26-40,4235582,0.0679,1196,48.54,0.35,0.4492,0,0.426
Ayacucho,Vizcarra,F,18-25,5808428,0.1715,724,77.3,0.45,0.6221,1,0.3309
Callao,López Aliaga,F,60+,2318439,0.1307,1086,55.83,0.64,0.6417,1,0.1921
Huánuco,Acuña,F,60+,7016404,0.0903,1177,45.61,0.69,0.6003,1,0.2994
San Martín,Vizcarra,F,18-25,9194790,0.0644,1172,44.21,0.5,0.5533,1,0.1199
Piura,Alvarez,F,60+,2559748,0.0788,1059,86.5,0.66,0.7364,1,0.3706
Ayacucho,Fujimori,M,26-40,6191012,0.1613,755,50.14,0.4,0.5246,1,0.1711
Lima,Alvarez,M,18-25,6371225,0.118,1277,68.77,0.43,0.6012,1,0.2287
Tacna,Fujimori,M,41-60,8909670,0.0757,1036,51.93,0.55,0.5302,1,0.492
Lambayeque,López Aliaga,M,26-40,9449451,0.149,902,66.4,0.51,0.5964,1,0.3586
La Libertad,Alvarez,F,26-40,3066043,0.1508,815,43.9,0.58,0.5592,1,0.2442
Callao,Alvarez,F,60+,2143089,0.1521,762,57.78,0.79,0.7128,1,0.181
Puno,Alvarez,M,18-25,3863744,0.0811,935,77.16,0.38,0.5807,1,0.4066
Arequipa,Acuña,F,60+,6847907,0.0558,929,59.07,0.3,0.5314,1,0.1148
Piura,Fujimori,F,41-60,2029765,0.1696,701,77.41,0.71,0.7074,1,0.4219
Ica,Alvarez,F,26-40,2303177,0.0767,1199,83.01,0.47,0.7006,1,0.1065
Madre de Dios,Fujimori,F,41-60,5013555,0.0776,1177,64.11,0.44,0.5345,1,0.4899
Lima,Vizcarra,M,26-40,4259963,0.114,1122,41.51,0.56,0.5397,1,0.2431
Amazonas,López Aliaga,F,41-60,5445237,0.1616,962,82.28,0.33,0.5978,1,0.3175
La Libertad,Alvarez,F,26-40,9014774,0.1183,873,74.98,0.4,0.6157,1,0.2174
Lambayeque,López Aliaga,F,41-60,5988309,0.0693,994,80.92,0.4,0.6379,1,0.2313
Huancavelica,Fujimori,M,18-25,9568556,0.1178,1151,64.34,0.43,0.6021,1,0.144
Amazonas,Vizcarra,F,18-25,8938098,0.1733,877,80.51,0.61,0.6887,1,0.3882
Cajamarca,Acuña,M,41-60,5987177,0.1241,930,45.81,0.49,0.5007,1,0.388
Áncash,Fujimori,M,60+,7717960,0.1531,1254,66.78,0.25,0.4892,0,0.3989
Lima,Fujimori,M,18-25,4794064,0.1634,706,43.48,0.25,0.4321,0,0.2094
La Libertad,Fujimori,F,26-40,2647602,0.0651,1296,89.41,0.49,0.6991,1,0.2808
Junín,Acuña,F,60+,4383036,0.1049,816,68.28,0.2,0.5127,1,0.2075
Moquegua,López Aliaga,M,26-40,2407242,0.0832,746,79.49,0.29,0.5614,1,0.3676
San Martín,López Aliaga,M,18-25,7795596,0.1401,1232,89.8,0.59,0.7518,1,0.2106
Junín,Alvarez,F,41-60,6188036,0.1463,1250,48.02,0.6,0.5972,1,0.1717
Tacna,Fujimori,F,41-60,1400447,0.136,1235,87.79,0.29,0.6012,1,0.3282
Cusco,Fujimori,M,26-40,2969590,0.1595,1082,63.12,0.74,0.6692,1,0.3875
San Martín,Fujimori,F,26-40,8382865,0.1053,721,52.45,0.45,0.5583,1,0.1646
Cajamarca,Acuña,M,60+,6984142,0.1771,1024,49.72,0.5,0.5197,1,0.4013
Moquegua,Fujimori,F,18-25,9664355,0.0871,940,46.89,0.4,0.5131,1,0.1804
Callao,Alvarez,M,18-25,1940134,0.1421,708,68.03,0.66,0.6694,1,0.3334
Ucayali,López Aliaga,M,60+,6517578,0.1312,882,62.79,0.29,0.5343,1,0.1601
San Martín,Acuña,M,18-25,8044839,0.108,921,55.35,0.31,0.4987,0,0.2305
Cusco,Acuña,M,26-40,3292463,0.1429,1115,71.02,0.41,0.5868,1,0.2985
Áncash,Fujimori,M,41-60,5468219,0.1651,1082,77.98,0.44,0.6385,1,0.2481
Ica,Fujimori,M,60+,1972919,0.0811,1187,52.53,0.39,0.4895,0,0.3873
Lima,López Aliaga,F,41-60,3935732,0.0822,1241,42.58,0.44,0.4604,0,0.439
Callao,Acuña,M,18-25,8518393,0.065,867,66.32,0.25,0.5313,1,0.1626
Arequipa,Acuña,F,18-25,6278026,0.0901,1132,47.12,0.26,0.4468,0,0.2195
Tumbes,Alvarez,F,41-60,9123265,0.0718,1083,49.55,0.71,0.65,1,0.1668
Callao,López Aliaga,F,60+,3428804,0.08,883,51.91,0.64,0.625,1,0.1993
Moquegua,Fujimori,M,26-40,6880128,0.0907,960,59.99,0.23,0.4559,0,0.3872
Lima,López Aliaga,F,26-40,1987706,0.0745,1260,42.83,0.77,0.6384,1,0.2028
Cusco,Fujimori,F,18-25,5362887,0.1597,1031,83.24,0.49,0.6769,1,0.2601
Loreto,Fujimori,F,26-40,2691515,0.0989,1139,42.14,0.55,0.5417,1,0.2414
Piura,Fujimori,M,60+,3481705,0.1652,872,54.65,0.28,0.4746,0,0.2827
Lambayeque,Alvarez,M,26-40,8430301,0.1143,1003,80.87,0.8,0.7872,1,0.2788
Junín,López Aliaga,F,26-40,6484485,0.1116,876,56.61,0.69,0.6071,1,0.4833
Madre de Dios,Vizcarra,M,26-40,4129118,0.1619,1174,84.4,0.29,0.5783,1,0.3861
Cusco,López Aliaga,F,60+,7739253,0.0992,1238,69.88,0.65,0.692,1,0.2307
Cusco,López Aliaga,M,26-40,6528069,0.1737,1098,74.72,0.32,0.5959,1,0.1483
Áncash,Alvarez,M,26-40,8305161,0.1446,1248,73.21,0.67,0.734,1,0.1416
Pasco,Fujimori,F,60+,7548722,0.1165,1062,44.65,0.76,0.5851,1,0.4935
Moquegua,Acuña,F,18-25,8109418,0.057,1270,64.63,0.4,0.5652,1,0.2633
Huánuco,López Aliaga,M,60+,6757407,0.1769,1000,79.19,0.53,0.7068,1,0.1198
Puno,Vizcarra,M,26-40,844767,0.1786,758,54.65,0.57,0.5713,1,0.3776
Lambayeque,López Aliaga,M,18-25,1697026,0.1305,1292,56.19,0.47,0.5895,1,0.1083
San Martín,Acuña,M,26-40,4561556,0.1422,967,89.81,0.62,0.7759,1,0.1515
Ica,Alvarez,F,26-40,4673730,0.1076,1034,65.42,0.63,0.6888,1,0.1313
Áncash,López Aliaga,F,41-60,5340347,0.1433,1054,87.19,0.33,0.6429,1,0.1915
Cusco,Alvarez,M,18-25,1771264,0.0542,708,69.81,0.41,0.6159,1,0.1412
Huánuco,Alvarez,M,26-40,6019606,0.0818,741,44.71,0.66,0.5904,1,0.2657
Moquegua,Fujimori,F,26-40,1629999,0.1184,1025,65.41,0.38,0.5761,1,0.1841
Lima,Alvarez,F,18-25,8264562,0.1629,1020,67.01,0.7,0.7276,1,0.1101
San Martín,Vizcarra,F,41-60,9778004,0.0783,1102,88.89,0.25,0.5934,1,0.3021
Tumbes,López Aliaga,M,60+,9295828,0.0737,1109,79.14,0.33,0.568,1,0.4094
Tacna,López Aliaga,M,18-25,2204705,0.1351,1231,41.6,0.47,0.4556,0,0.4857
San Martín,Vizcarra,M,26-40,1235612,0.1608,888,76.46,0.41,0.5775,1,0.4643
Ica,Fujimori,M,41-60,8628427,0.0583,999,80.37,0.3,0.5724,1,0.3534
Cajamarca,Acuña,F,26-40,9051673,0.0765,853,73.86,0.31,0.5911,1,0.1496
